1610;77;2017-09-10 00:01:25;
1612;2249;2017-09-10 00:01:25;
1613;291;2017-09-10 00:01:25;
1614;679;2017-09-10 00:01:25;
1617;581;2017-09-10 00:01:25;
1622;6;2017-09-10 00:01:25;
1630;539;2017-09-10 00:01:25;
1660;16;2017-09-10 00:01:25;
1951;3083;2017-09-10 00:01:25;
1959;466;2017-09-10 00:01:25;
1997;89;2017-09-10 00:01:25;
1998;31;2017-09-10 00:01:25;
1999;1;2017-09-10 00:01:25;
1998;31;2017-09-10 00:02:57;
1999;1;2017-09-10 00:02:57;
1610;78;2017-09-10 00:02:57;
1612;2244;2017-09-10 00:02:57;
1613;289;2017-09-10 00:02:57;
1614;689;2017-09-10 00:02:57;
1617;579;2017-09-10 00:02:57;
1622;11;2017-09-10 00:02:57;
1630;541;2017-09-10 00:02:57;
1660;16;2017-09-10 00:02:57;
1951;3088;2017-09-10 00:02:57;
1959;467;2017-09-10 00:02:57;
1997;90;2017-09-10 00:02:57;
1630;539;2017-09-10 00:04:57;
1660;16;2017-09-10 00:04:57;
1951;3094;2017-09-10 00:04:57;
1959;468;2017-09-10 00:04:57;
1997;91;2017-09-10 00:04:57;
1998;31;2017-09-10 00:04:57;
1999;1;2017-09-10 00:04:57;
1610;81;2017-09-10 00:04:57;
1612;2246;2017-09-10 00:04:57;
1613;290;2017-09-10 00:04:57;
1614;680;2017-09-10 00:04:57;
1617;582;2017-09-10 00:04:57;
1622;7;2017-09-10 00:04:57;
1610;16;2017-09-10 00:06:57;
1612;2230;2017-09-10 00:06:57;
1613;290;2017-09-10 00:06:57;
1614;670;2017-09-10 00:06:57;
1617;581;2017-09-10 00:06:57;
1622;-2;2017-09-10 00:06:57;
1630;544;2017-09-10 00:06:57;
1660;16;2017-09-10 00:06:57;
1951;3100;2017-09-10 00:06:57;
1959;469;2017-09-10 00:06:57;
1997;91;2017-09-10 00:06:57;
1998;31;2017-09-10 00:06:57;
1999;1;2017-09-10 00:06:57;
1998;31;2017-09-10 00:08:56;
1999;1;2017-09-10 00:08:56;
1610;-3;2017-09-10 00:08:56;
1612;2226;2017-09-10 00:08:56;
1613;290;2017-09-10 00:08:56;
1614;675;2017-09-10 00:08:56;
1617;579;2017-09-10 00:08:56;
1622;-4;2017-09-10 00:08:56;
1630;546;2017-09-10 00:08:56;
1660;16;2017-09-10 00:08:56;
1951;3106;2017-09-10 00:08:56;
1959;470;2017-09-10 00:08:56;
1997;89;2017-09-10 00:08:56;
1630;540;2017-09-10 00:10:57;
1660;16;2017-09-10 00:10:57;
